DateTime,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,last_1_hour_traffic,last_2_hour_traffic,last_3_hour_traffic,last_4_hour_traffic,last_5_hour_traffic,last_6_hour_traffic,hour,month_day,weekday,month,year,Junction
03-10-2012 21:00,1,61,33,5,340,8,8,287.1,0,0,1,Clear,sky is clear,2637,2898,3591,4623,6137,5692,5337,21,3,3,10,2012,1
03-10-2012 22:00,1,286,30,5,340,4,4,286.25,0,0,1,Clear,sky is clear,1777,2637,2898,3591,4623,6137,5692,22,3,3,10,2012,1
03-10-2012 23:00,1,151,33,3,340,9,9,285.26,0,0,1,Clear,sky is clear,1015,1777,2637,2898,3591,4623,6137,23,3,3,10,2012,1
04-10-2012 00:00,1,260,32,5,350,8,8,284.55,0,0,1,Clear,sky is clear,598,1015,1777,2637,2898,3591,4623,0,4,4,10,2012,1
04-10-2012 01:00,1,234,37,5,350,5,5,283.47,0,0,1,Clear,sky is clear,369,598,1015,1777,2637,2898,3591,1,4,4,10,2012,1
04-10-2012 02:00,1,162,36,4,330,5,5,283.17,0,0,1,Clear,sky is clear,312,369,598,1015,1777,2637,2898,2,4,4,10,2012,1
04-10-2012 03:00,1,65,39,6,340,1,1,282.04,0,0,1,Clear,sky is clear,367,312,369,598,1015,1777,2637,3,4,4,10,2012,1
04-10-2012 04:00,1,18,41,5,340,1,1,281.69,0,0,1,Clear,sky is clear,835,367,312,369,598,1015,1777,4,4,4,10,2012,1
04-10-2012 05:00,1,250,44,5,350,4,4,281.32,0,0,1,Clear,sky is clear,2726,835,367,312,369,598,1015,5,4,4,10,2012,1
04-10-2012 06:00,1,173,44,4,340,4,4,280.74,0,0,1,Clear,sky is clear,5689,2726,835,367,312,369,598,6,4,4,10,2012,1
04-10-2012 07:00,1,142,47,4,350,2,2,280.57,0,0,1,Clear,sky is clear,6990,5689,2726,835,367,312,369,7,4,4,10,2012,1
04-10-2012 08:00,1,90,50,4,360,5,5,281.86,0,0,1,Clear,sky is clear,5985,6990,5689,2726,835,367,312,8,4,4,10,2012,1
04-10-2012 09:00,1,144,75,0,0,6,6,284.98,0,0,1,Clear,sky is clear,5309,5985,6990,5689,2726,835,367,9,4,4,10,2012,1
04-10-2012 10:00,1,143,57,0,0,8,8,289.18,0,0,1,Clear,sky is clear,4603,5309,5985,6990,5689,2726,835,10,4,4,10,2012,1
04-10-2012 11:00,1,61,70,1,320,1,1,291.55,0,0,1,Clear,sky is clear,4884,4603,5309,5985,6990,5689,2726,11,4,4,10,2012,1
04-10-2012 12:00,1,211,93,0,0,4,4,294.97,0,0,1,Clear,sky is clear,5104,4884,4603,5309,5985,6990,5689,12,4,4,10,2012,1
04-10-2012 13:00,1,207,84,0,0,6,6,296.38,0,0,1,Clear,sky is clear,5178,5104,4884,4603,5309,5985,6990,13,4,4,10,2012,1
04-10-2012 14:00,1,115,75,0,0,7,7,297.32,0,0,1,Clear,sky is clear,5501,5178,5104,4884,4603,5309,5985,14,4,4,10,2012,1
04-10-2012 15:00,1,253,57,0,0,2,2,298.17,0,0,1,Clear,sky is clear,5713,5501,5178,5104,4884,4603,5309,15,4,4,10,2012,1
04-10-2012 16:00,1,242,53,1,63,5,5,298.06,0,0,20,Clouds,few clouds,6292,5713,5501,5178,5104,4884,4603,16,4,4,10,2012,1
04-10-2012 17:00,1,23,49,2,126,5,5,297.67,0,0,20,Clouds,few clouds,6057,6292,5713,5501,5178,5104,4884,17,4,4,10,2012,1
04-10-2012 18:00,1,234,45,3,190,5,5,296.36,0,0,40,Clouds,scattered clouds,4907,6057,6292,5713,5501,5178,5104,18,4,4,10,2012,1
04-10-2012 19:00,1,220,37,3,170,6,6,293.85,0,0,40,Clouds,scattered clouds,3503,4907,6057,6292,5713,5501,5178,19,4,4,10,2012,1
04-10-2012 20:00,1,210,28,3,190,5,5,292.43,0,0,40,Clouds,scattered clouds,3037,3503,4907,6057,6292,5713,5501,20,4,4,10,2012,1
04-10-2012 21:00,1,174,30,2,0,7,7,291.77,0,0,75,Clouds,broken clouds,2822,3037,3503,4907,6057,6292,5713,21,4,4,10,2012,1
04-10-2012 22:00,1,58,26,4,140,4,4,291.36,0,0,75,Clouds,broken clouds,1992,2822,3037,3503,4907,6057,6292,22,4,4,10,2012,1
04-10-2012 23:00,1,142,26,3,170,1,1,291.12,0,0,75,Clouds,broken clouds,1166,1992,2822,3037,3503,4907,6057,23,4,4,10,2012,1
05-10-2012 00:00,1,79,26,3,200,6,6,290.63,0,0,75,Clouds,broken clouds,627,1166,1992,2822,3037,3503,4907,0,5,5,10,2012,1
05-10-2012 01:00,1,128,30,3,180,9,9,290.46,0,0,40,Clouds,scattered clouds,388,627,1166,1992,2822,3037,3503,1,5,5,10,2012,1
05-10-2012 03:00,1,148,34,2,150,4,4,289.26,0,0,0,Clear,sky is clear,368,388,627,1166,1992,2822,3037,3,5,5,10,2012,1
05-10-2012 05:00,1,252,41,2,140,7,7,283.21,0,0,75,Clouds,broken clouds,2489,368,388,627,1166,1992,2822,5,5,5,10,2012,1
05-10-2012 06:00,1,190,47,3,140,3,3,282.24,0,0,90,Clouds,overcast clouds,5537,2489,368,388,627,1166,1992,6,5,5,10,2012,1
05-10-2012 07:00,1,192,47,2,160,9,9,281.69,0,0,90,Clouds,overcast clouds,6628,5537,2489,368,388,627,1166,7,5,5,10,2012,1
05-10-2012 08:00,1,59,47,2,160,9,9,280.57,0,0,90,Clouds,overcast clouds,5534,6628,5537,2489,368,388,627,8,5,5,10,2012,1
05-10-2012 09:00,1,190,54,2,130,6,6,280.02,0,0,75,Clouds,broken clouds,5403,5534,6628,5537,2489,368,388,9,5,5,10,2012,1
05-10-2012 10:00,1,134,71,0,0,5,5,280.11,0,0,75,Clouds,broken clouds,4770,5403,5534,6628,5537,2489,368,10,5,5,10,2012,1
05-10-2012 11:00,1,240,58,2,110,8,8,280,0,0,90,Clouds,overcast clouds,5217,4770,5403,5534,6628,5537,2489,11,5,5,10,2012,1
05-10-2012 12:00,1,12,76,2,150,9,9,280.53,0,0,90,Clouds,overcast clouds,5870,5217,4770,5403,5534,6628,5537,12,5,5,10,2012,1
05-10-2012 13:00,1,182,71,3,110,5,5,281.43,0,0,75,Clouds,broken clouds,5967,5870,5217,4770,5403,5534,6628,13,5,5,10,2012,1
05-10-2012 14:00,1,90,71,1,110,5,5,281.78,0,0,90,Clouds,overcast clouds,6108,5967,5870,5217,4770,5403,5534,14,5,5,10,2012,1
05-10-2012 15:00,1,284,76,2,110,3,3,281.91,0,0,90,Clouds,overcast clouds,6128,6108,5967,5870,5217,4770,5403,15,5,5,10,2012,1
05-10-2012 16:00,1,228,76,2,120,2,2,281.73,0,0,90,Clouds,overcast clouds,6069,6128,6108,5967,5870,5217,4770,16,5,5,10,2012,1
05-10-2012 17:00,1,149,71,1,110,9,9,281.42,0,0,90,Clouds,overcast clouds,6169,6069,6128,6108,5967,5870,5217,17,5,5,10,2012,1
05-10-2012 18:00,1,72,54,0,0,8,8,280.87,0,0,90,Clouds,overcast clouds,5384,6169,6069,6128,6108,5967,5870,18,5,5,10,2012,1
05-10-2012 19:00,1,36,45,2,160,2,2,280.15,0,0,90,Clouds,overcast clouds,4063,5384,6169,6069,6128,6108,5967,19,5,5,10,2012,1
05-10-2012 20:00,1,205,35,2,0,6,6,279.78,0,0,90,Clouds,overcast clouds,3364,4063,5384,6169,6069,6128,6108,20,5,5,10,2012,1
05-10-2012 21:00,1,161,27,4,160,9,9,279.65,0,0,75,Clouds,broken clouds,2971,3364,4063,5384,6169,6069,6128,21,5,5,10,2012,1
05-10-2012 22:00,1,261,25,4,180,4,4,279.22,0,0,40,Clouds,scattered clouds,2450,2971,3364,4063,5384,6169,6069,22,5,5,10,2012,1
05-10-2012 23:00,1,257,25,4,160,4,4,279.06,0,0,40,Clouds,scattered clouds,1832,2450,2971,3364,4063,5384,6169,23,5,5,10,2012,1
06-10-2012 00:00,1,163,23,5,150,6,6,278.81,0,0,90,Clouds,overcast clouds,1231,1832,2450,2971,3364,4063,5384,0,6,6,10,2012,1
06-10-2012 01:00,1,219,23,5,160,4,4,278.55,0,0,90,Clouds,overcast clouds,718,1231,1832,2450,2971,3364,4063,1,6,6,10,2012,1
06-10-2012 02:00,1,31,25,4,150,7,7,278.59,0,0,90,Clouds,overcast clouds,545,718,1231,1832,2450,2971,3364,2,6,6,10,2012,1
06-10-2012 04:00,1,79,32,2,140,9,9,276.99,0,0,75,Clouds,broken clouds,411,545,718,1231,1832,2450,2971,4,6,6,10,2012,1
06-10-2012 05:00,1,28,30,3,130,7,7,276.35,0,0,20,Clouds,few clouds,688,411,545,718,1231,1832,2450,5,6,6,10,2012,1
06-10-2012 06:00,1,110,37,3,130,1,1,275.4,0,0,1,Clear,sky is clear,1352,688,411,545,718,1231,1832,6,6,6,10,2012,1
06-10-2012 07:00,1,171,42,3,140,9,9,275.17,0,0,1,Clear,sky is clear,2072,1352,688,411,545,718,1231,7,6,6,10,2012,1
06-10-2012 08:00,1,148,45,5,140,3,3,274.99,0,0,1,Clear,sky is clear,3342,2072,1352,688,411,545,718,8,6,6,10,2012,1
06-10-2012 09:00,1,97,45,5,140,2,2,275.09,0,0,40,Clouds,scattered clouds,4258,3342,2072,1352,688,411,545,9,6,6,10,2012,1
06-10-2012 10:00,1,46,48,5,140,2,2,276.88,0,0,20,Clouds,few clouds,4861,4258,3342,2072,1352,688,411,10,6,6,10,2012,1
06-10-2012 11:00,1,180,24,2,194,7,7,278.04,0,0,20,Clouds,few clouds,5191,4861,4258,3342,2072,1352,688,11,6,6,10,2012,1
06-10-2012 12:00,1,269,24,0,248,6,6,279.08,0,0,40,Clouds,scattered clouds,5669,5191,4861,4258,3342,2072,1352,12,6,6,10,2012,1
06-10-2012 13:00,1,280,31,4,239,6,6,280.12,0,0,75,Clouds,broken clouds,5074,5669,5191,4861,4258,3342,2072,13,6,6,10,2012,1
06-10-2012 14:00,1,264,62,9,230,7,7,280.25,0,0,75,Clouds,broken clouds,5025,5074,5669,5191,4861,4258,3342,14,6,6,10,2012,1
06-10-2012 15:00,1,149,70,5,240,5,5,280,0,0,75,Clouds,broken clouds,5153,5025,5074,5669,5191,4861,4258,15,6,6,10,2012,1
06-10-2012 16:00,1,77,70,9,240,5,5,279.06,0,0,90,Clouds,overcast clouds,5024,5153,5025,5074,5669,5191,4861,16,6,6,10,2012,1
06-10-2012 17:00,1,77,70,8,250,1,1,278.91,0,0,90,Clouds,overcast clouds,4779,5024,5153,5025,5074,5669,5191,17,6,6,10,2012,1
06-10-2012 18:00,1,178,70,7,250,1,1,278.39,0,0,90,Clouds,overcast clouds,4362,4779,5024,5153,5025,5074,5669,18,6,6,10,2012,1
06-10-2012 19:00,1,114,61,9,250,8,8,278.16,0,0,90,Clouds,overcast clouds,3860,4362,4779,5024,5153,5025,5074,19,6,6,10,2012,1
06-10-2012 20:00,1,67,65,9,260,2,2,278.16,0,0,90,Clouds,overcast clouds,3160,3860,4362,4779,5024,5153,5025,20,6,6,10,2012,1
06-10-2012 21:00,1,196,70,8,250,1,1,277.93,0,0,90,Clouds,overcast clouds,2992,3160,3860,4362,4779,5024,5153,21,6,6,10,2012,1
06-10-2012 22:00,1,65,70,10,270,5,5,276.9,0,0,90,Clouds,overcast clouds,3202,2992,3160,3860,4362,4779,5024,22,6,6,10,2012,1
06-10-2012 23:00,1,13,70,12,260,5,5,276.34,0,0,75,Clouds,broken clouds,1941,3202,2992,3160,3860,4362,4779,23,6,6,10,2012,1
07-10-2012 00:00,1,294,70,10,260,2,2,276.11,0,0,75,Clouds,broken clouds,1233,1941,3202,2992,3160,3860,4362,0,7,7,10,2012,1
07-10-2012 03:00,1,26,70,12,270,6,6,275.73,0,0,90,Clouds,overcast clouds,323,1233,1941,3202,2992,3160,3860,3,7,7,10,2012,1
07-10-2012 04:00,1,246,70,8,260,7,7,275.65,0,0,90,Clouds,overcast clouds,312,323,1233,1941,3202,2992,3160,4,7,7,10,2012,1
07-10-2012 05:00,1,259,70,7,270,4,4,275.51,0,0,75,Clouds,broken clouds,627,312,323,1233,1941,3202,2992,5,7,7,10,2012,1
07-10-2012 06:00,1,33,52,8,280,9,9,275.05,0,0,90,Clouds,overcast clouds,1508,627,312,323,1233,1941,3202,6,7,7,10,2012,1
07-10-2012 07:00,1,125,52,8,290,3,3,274.77,0,0,90,Clouds,overcast clouds,1539,1508,627,312,323,1233,1941,7,7,7,10,2012,1
07-10-2012 08:00,1,247,52,5,280,9,9,274.77,0,0,75,Clouds,broken clouds,2232,1539,1508,627,312,323,1233,8,7,7,10,2012,1
07-10-2012 09:00,1,178,56,7,290,7,7,275.55,0,0,75,Clouds,broken clouds,4568,2232,1539,1508,627,312,323,9,7,7,10,2012,1
07-10-2012 10:00,1,297,56,8,280,7,7,276.24,0,0,75,Clouds,broken clouds,4624,4568,2232,1539,1508,627,312,10,7,7,10,2012,1
07-10-2012 11:00,1,250,56,7,290,1,1,277.01,0,0,90,Clouds,overcast clouds,4529,4624,4568,2232,1539,1508,627,11,7,7,10,2012,1
07-10-2012 12:00,1,299,56,9,270,5,5,277.43,0,0,90,Clouds,overcast clouds,5139,4529,4624,4568,2232,1539,1508,12,7,7,10,2012,1
07-10-2012 13:00,1,260,56,8,270,5,5,278.45,0,0,90,Clouds,overcast clouds,6640,5139,4529,4624,4568,2232,1539,13,7,7,10,2012,1
07-10-2012 14:00,1,174,28,8,275,8,8,279.27,0,0,90,Clouds,overcast clouds,6589,6640,5139,4529,4624,4568,2232,14,7,7,10,2012,1
07-10-2012 15:00,1,150,56,9,280,1,1,279.27,0,0,90,Clouds,overcast clouds,4429,6589,6640,5139,4529,4624,4568,15,7,7,10,2012,1
07-10-2012 16:00,1,129,60,7,280,7,7,279.44,0,0,90,Clouds,overcast clouds,4329,4429,6589,6640,5139,4529,4624,16,7,7,10,2012,1
07-10-2012 17:00,1,170,64,6,270,5,5,279.32,0,0,90,Clouds,overcast clouds,3833,4329,4429,6589,6640,5139,4529,17,7,7,10,2012,1
07-10-2012 18:00,1,114,69,5,260,4,4,279.27,0,0,90,Clouds,overcast clouds,4015,3833,4329,4429,6589,6640,5139,18,7,7,10,2012,1
07-10-2012 19:00,1,101,80,4,260,1,1,278.11,0,0,90,Clouds,overcast clouds,3382,4015,3833,4329,4429,6589,6640,19,7,7,10,2012,1
07-10-2012 20:00,1,213,80,5,250,2,2,276.79,0,0,75,Clouds,broken clouds,2815,3382,4015,3833,4329,4429,6589,20,7,7,10,2012,1
07-10-2012 21:00,1,49,60,7,280,4,4,275.73,0,0,90,Clouds,overcast clouds,2110,2815,3382,4015,3833,4329,4429,21,7,7,10,2012,1
07-10-2012 22:00,1,63,56,8,260,5,5,274.88,0,0,75,Clouds,broken clouds,1555,2110,2815,3382,4015,3833,4329,22,7,7,10,2012,1
07-10-2012 23:00,1,98,45,8,290,9,9,273.92,0,0,20,Clouds,few clouds,959,1555,2110,2815,3382,4015,3833,23,7,7,10,2012,1
08-10-2012 00:00,1,144,45,9,300,5,5,273.08,0,0,20,Clouds,few clouds,455,959,1555,2110,2815,3382,4015,0,8,1,10,2012,1
08-10-2012 01:00,1,11,42,7,290,6,6,272.62,0,0,20,Clouds,few clouds,336,455,959,1555,2110,2815,3382,1,8,1,10,2012,1
08-10-2012 02:00,1,106,42,8,280,7,7,271.78,0,0,1,Clear,sky is clear,265,336,455,959,1555,2110,2815,2,8,1,10,2012,1
08-10-2012 03:00,1,65,45,10,310,8,8,271.05,0,0,1,Clear,sky is clear,314,265,336,455,959,1555,2110,3,8,1,10,2012,1
08-10-2012 04:00,1,133,48,7,300,6,6,270.63,0,0,1,Clear,sky is clear,779,314,265,336,455,959,1555,4,8,1,10,2012,1
08-10-2012 05:00,1,194,48,8,290,2,2,270.33,0,0,1,Clear,sky is clear,2571,779,314,265,336,455,959,5,8,1,10,2012,1
08-10-2012 06:00,1,134,52,6,290,6,6,269.61,0,0,20,Clouds,few clouds,5563,2571,779,314,265,336,455,6,8,1,10,2012,1
08-10-2012 07:00,1,273,52,8,280,9,9,270.01,0,0,20,Clouds,few clouds,6676,5563,2571,779,314,265,336,7,8,1,10,2012,1
08-10-2012 08:00,1,200,56,7,300,4,4,271.23,0,0,20,Clouds,few clouds,5966,6676,5563,2571,779,314,265,8,8,1,10,2012,1
08-10-2012 09:00,1,224,55,8,310,6,6,273.71,0,0,20,Clouds,few clouds,4832,5966,6676,5563,2571,779,314,9,8,1,10,2012,1
08-10-2012 10:00,1,230,55,6,300,4,4,276.77,0,0,20,Clouds,few clouds,4395,4832,5966,6676,5563,2571,779,10,8,1,10,2012,1
08-10-2012 11:00,1,208,59,5,300,7,7,279.47,0,0,20,Clouds,few clouds,4411,4395,4832,5966,6676,5563,2571,11,8,1,10,2012,1
08-10-2012 12:00,1,183,62,5,300,1,1,279.84,0,0,1,Clear,sky is clear,4648,4411,4395,4832,5966,6676,5563,12,8,1,10,2012,1
08-10-2012 13:00,1,226,65,5,300,1,1,282.34,0,0,40,Clouds,scattered clouds,4602,4648,4411,4395,4832,5966,6676,13,8,1,10,2012,1
08-10-2012 14:00,1,215,69,5,300,9,9,282.94,0,0,40,Clouds,scattered clouds,5125,4602,4648,4411,4395,4832,5966,14,8,1,10,2012,1
08-10-2012 15:00,1,76,69,7,310,1,1,283.48,0,0,1,Clear,sky is clear,5502,5125,4602,4648,4411,4395,4832,15,8,1,10,2012,1
08-10-2012 16:00,1,183,69,5,320,5,5,284.33,0,0,1,Clear,sky is clear,5979,5502,5125,4602,4648,4411,4395,16,8,1,10,2012,1
08-10-2012 17:00,1,87,69,6,330,9,9,284.48,0,0,40,Clouds,scattered clouds,5663,5979,5502,5125,4602,4648,4411,17,8,1,10,2012,1
08-10-2012 18:00,1,51,74,4,320,1,1,284.23,0,0,40,Clouds,scattered clouds,4259,5663,5979,5502,5125,4602,4648,18,8,1,10,2012,1
08-10-2012 19:00,1,73,74,4,330,8,8,281.99,0,0,20,Clouds,few clouds,3069,4259,5663,5979,5502,5125,4602,19,8,1,10,2012,1
08-10-2012 20:00,1,208,69,5,330,6,6,279.81,0,0,1,Clear,sky is clear,2378,3069,4259,5663,5979,5502,5125,20,8,1,10,2012,1
08-10-2012 21:00,1,99,64,4,340,5,5,279.35,0,0,1,Clear,sky is clear,2030,2378,3069,4259,5663,5979,5502,21,8,1,10,2012,1
08-10-2012 22:00,1,16,55,6,340,5,5,278.9,0,0,1,Clear,sky is clear,1400,2030,2378,3069,4259,5663,5979,22,8,1,10,2012,1
08-10-2012 23:00,1,272,59,5,330,8,8,278.46,0,0,1,Clear,sky is clear,917,1400,2030,2378,3069,4259,5663,23,8,1,10,2012,1
09-10-2012 00:00,1,131,41,4,340,8,8,277.78,0,0,1,Clear,sky is clear,515,917,1400,2030,2378,3069,4259,0,9,2,10,2012,1
09-10-2012 01:00,1,173,41,4,350,1,1,277.27,0,0,1,Clear,sky is clear,302,515,917,1400,2030,2378,3069,1,9,2,10,2012,1
09-10-2012 02:00,1,125,41,4,310,9,9,277.47,0,0,1,Clear,sky is clear,251,302,515,917,1400,2030,2378,2,9,2,10,2012,1
09-10-2012 04:00,1,22,45,2,320,8,8,276.97,0,0,20,Clouds,few clouds,798,251,302,515,917,1400,2030,4,9,2,10,2012,1
09-10-2012 05:00,1,29,41,5,350,7,7,276.52,0,0,40,Clouds,scattered clouds,2678,798,251,302,515,917,1400,5,9,2,10,2012,1
09-10-2012 06:00,1,210,38,3,350,8,8,276.6,0,0,40,Clouds,scattered clouds,5733,2678,798,251,302,515,917,6,9,2,10,2012,1
09-10-2012 07:00,1,263,38,2,360,4,4,277.31,0,0,75,Clouds,broken clouds,6449,5733,2678,798,251,302,515,7,9,2,10,2012,1
09-10-2012 08:00,1,95,41,1,290,6,6,278.38,0,0,90,Clouds,overcast clouds,5765,6449,5733,2678,798,251,302,8,9,2,10,2012,1
09-10-2012 09:00,1,189,48,1,270,3,3,279.35,0,0,90,Clouds,overcast clouds,5599,5765,6449,5733,2678,798,251,9,9,2,10,2012,1
09-10-2012 10:00,1,246,51,1,250,2,2,281.37,0,0,90,Clouds,overcast clouds,4534,5599,5765,6449,5733,2678,798,10,9,2,10,2012,1
09-10-2012 11:00,1,70,59,0,0,4,4,283.11,0,0,90,Clouds,overcast clouds,4691,4534,5599,5765,6449,5733,2678,11,9,2,10,2012,1
09-10-2012 12:00,1,224,64,1,250,8,8,284.08,0,0,75,Clouds,broken clouds,5067,4691,4534,5599,5765,6449,5733,12,9,2,10,2012,1
09-10-2012 13:00,1,224,69,0,0,4,4,285.14,0,0,75,Clouds,broken clouds,5030,5067,4691,4534,5599,5765,6449,13,9,2,10,2012,1
09-10-2012 14:00,1,99,69,0,0,1,1,286.35,0,0,90,Clouds,overcast clouds,5300,5030,5067,4691,4534,5599,5765,14,9,2,10,2012,1
09-10-2012 15:00,1,105,69,1,220,6,6,287.23,0,0,100,Rain,light rain,5777,5300,5030,5067,4691,4534,5599,15,9,2,10,2012,1
09-10-2012 16:00,1,70,80,1,200,1,1,288.53,0,0,90,Clouds,overcast clouds,6349,5777,5300,5030,5067,4691,4534,16,9,2,10,2012,1
09-10-2012 17:00,1,65,79,1,200,8,8,290.37,0,0,90,Clouds,overcast clouds,6127,6349,5777,5300,5030,5067,4691,17,9,2,10,2012,1
09-10-2012 18:00,1,229,79,1,200,6,6,290.13,0,0,90,Clouds,overcast clouds,4460,6127,6349,5777,5300,5030,5067,18,9,2,10,2012,1
09-10-2012 19:00,1,103,74,2,230,6,6,288.86,0,0,75,Clouds,broken clouds,3418,4460,6127,6349,5777,5300,5030,19,9,2,10,2012,1
09-10-2012 20:00,1,49,74,0,0,4,4,287.36,0,0,90,Clouds,overcast clouds,2775,3418,4460,6127,6349,5777,5300,20,9,2,10,2012,1
09-10-2012 21:00,1,257,74,3,220,1,1,285.11,0,0,90,Clouds,overcast clouds,2306,2775,3418,4460,6127,6349,5777,21,9,2,10,2012,1
09-10-2012 22:00,1,226,51,5,230,2,2,283.46,0,0,90,Clouds,overcast clouds,1846,2306,2775,3418,4460,6127,6349,22,9,2,10,2012,1
09-10-2012 23:00,1,163,44,4,230,4,4,282.45,0,0,90,Clouds,overcast clouds,947,1846,2306,2775,3418,4460,6127,23,9,2,10,2012,1
10-10-2012 00:00,1,71,42,3,220,7,7,281.88,0,0,90,Clouds,overcast clouds,494,947,1846,2306,2775,3418,4460,0,10,3,10,2012,1
10-10-2012 01:00,1,249,31,4,230,3,3,281.78,0,0,90,Clouds,overcast clouds,332,494,947,1846,2306,2775,3418,1,10,3,10,2012,1
10-10-2012 02:00,1,199,27,5,220,1,1,281.09,0,0,75,Clouds,broken clouds,261,332,494,947,1846,2306,2775,2,10,3,10,2012,1
10-10-2012 03:00,1,155,31,4,210,5,5,281.17,0,0,90,Clouds,overcast clouds,361,261,332,494,947,1846,2306,3,10,3,10,2012,1
10-10-2012 06:00,1,19,25,4,210,3,3,281.25,0,0,92,Clear,sky is clear,5875,361,261,332,494,947,1846,6,10,3,10,2012,1
10-10-2012 07:00,1,69,23,3,220,3,3,281.25,0,0,99,Drizzle,light intensity drizzle,6793,5875,361,261,332,494,947,7,10,3,10,2012,1
10-10-2012 07:00,1,139,21,6,220,2,2,281.25,0,0,99,Rain,light rain,6793,6793,5875,361,261,332,494,7,10,3,10,2012,1
10-10-2012 08:00,1,184,27,2,170,2,2,280.1,0,0,99,Rain,light rain,6283,6793,6793,5875,361,261,332,8,10,3,10,2012,1
10-10-2012 08:00,1,82,33,3,150,7,7,280.1,0,0,99,Drizzle,light intensity drizzle,6283,6283,6793,6793,5875,361,261,8,10,3,10,2012,1
10-10-2012 09:00,1,248,33,3,160,3,3,279.61,0,0,99,Rain,light rain,5680,6283,6283,6793,6793,5875,361,9,10,3,10,2012,1
10-10-2012 09:00,1,188,36,3,170,6,6,279.61,0,0,99,Drizzle,light intensity drizzle,5680,5680,6283,6283,6793,6793,5875,9,10,3,10,2012,1
10-10-2012 10:00,1,76,39,3,170,2,2,279.67,0,0,99,Clear,sky is clear,4632,5680,5680,6283,6283,6793,6793,10,10,3,10,2012,1
10-10-2012 11:00,1,90,45,2,130,2,2,280.19,0,0,1,Clear,sky is clear,4887,4632,5680,5680,6283,6283,6793,11,10,3,10,2012,1
10-10-2012 12:00,1,86,51,2,140,3,3,282.09,0,0,75,Clouds,broken clouds,5030,4887,4632,5680,5680,6283,6283,12,10,3,10,2012,1
10-10-2012 13:00,1,257,42,2,200,7,7,282.26,0,0,75,Clouds,broken clouds,5067,5030,4887,4632,5680,5680,6283,13,10,3,10,2012,1
10-10-2012 14:00,1,204,45,2,195,9,9,282.05,0,0,90,Clouds,overcast clouds,5227,5067,5030,4887,4632,5680,5680,14,10,3,10,2012,1
10-10-2012 15:00,1,77,48,3,190,2,2,281.59,0,0,90,Clouds,overcast clouds,5610,5227,5067,5030,4887,4632,5680,15,10,3,10,2012,1
10-10-2012 16:00,1,65,52,2,190,2,2,281.23,0,0,81,Clear,sky is clear,6286,5610,5227,5067,5030,4887,4632,16,10,3,10,2012,1
